Parsing Opcorpora --->
Parsing is finished
The results of processing:
 Слов рассмотренно : 981315
 Нераспознано слов : 19.856722866765512 %
 Точность определения леммы слова : 75.02315974492902 %
 Статистика по леммам :
---
лапа 72 NOUN
действую 72 VERB
приказ 72 NOUN
кинулся 72 VERB
безголовый 72 ADJF
коробка 72 NOUN
заглянул 72 VERB
порог 72 NOUN
ответить 72 INFN
послал 72 VERB
площадка 72 NOUN
горло 72 NOUN
потолок 72 NOUN
наказание 72 NOUN
несчастный 72 ADJF
ошибка 72 NOUN
буркнул 72 VERB
максим 71 NOUN
бузинный 71 ADJF
возвращение 71 NOUN
дождь 71 NOUN
позвал 71 VERB
уход 71 NOUN
больший 71 ADJF
узкий 71 ADJF
возвращаюсь 71 VERB
понятие 71 NOUN
гость 71 NOUN
бутылка 71 NOUN
рождение 71 NOUN
статуя 71 NOUN
луч 71 NOUN
стеклянный 71 ADJF
нашил 71 VERB
прозвучал 71 VERB
получился 71 VERB
болен 71 ADJS
встретился 71 VERB
благодаря 70 PREP
случайно 70 CONJ
ниже 70 COMP
прислал 70 VERB
постарался 70 VERB
напомнил 70 VERB
извинил 70 VERB
жила 70 NOUN
глубоко 70 ADVB
еле 70 ADVB
очутился 70 VERB
чай 70 NOUN
больница 70 NOUN
отрезаю 70 VERB
ступенька 70 NOUN
стать 70 INFN
жаль 69 PRED
свернул 69 VERB
вскрикнул 69 VERB
испытываю 69 VERB
необходимо 69 PRED
взялся 69 VERB
болею 69 VERB
нарцисс 69 NOUN
спросить 69 INFN
надпись 69 NOUN
справа 69 NOUN
жив 69 ADJS
корнелиус 69 NOUN
вырос 69 VERB
обрадовался 69 VERB
примерен 69 ADJS
тысяча 69 NOUN
проснулся 68 VERB
захлопнул 68 VERB
эй 68 INTJ
взглянув 68 GRND
восторг 68 NOUN
касаюсь 68 VERB
виноват 68 ADJS
нападение 68 NOUN
обратил 68 VERB
гор 68 NOUN
облегчение 68 NOUN
метка 68 NOUN
помчался 68 VERB
домовик 68 NOUN
возмутился 68 VERB
платформа 67 NOUN
использовал 67 VERB
принёс 67 VERB
угодно 67 PRED
ткнул 67 VERB
слышно 67 ADVB
принадлежу 67 VERB
толкнул 67 VERB
иной 67 ADJF
святой 67 ADJF
скорость 67 NOUN
письменный 67 ADJF
отправил 67 VERB
дыша 67 GRND
пройти 67 INFN
острый 67 ADJF
купе 67 NOUN
приземлился 67 VERB
сведение 67 NOUN
надел 67 VERB
издал 67 VERB
нужный 67 ADJF
